who,what,isCopy2,pub,pubnum,year,discogs_url
Isaac Hayes ,Hot Buttered Soul,0,,,,
Isaac Hayes n Dionne Warwick ,A Man and a Woman,0,,,,
Isaac Hayes ,Shaft,0,,,,
Isaac Hayes ,The Best of Isaac Hayes,0,,,,
Itzhak Perlman ,Paganini Concerto no 1,0,,,,
Itzhak Perlman ,Saint Saens and Chausson and Ravel,0,,,,
Itzhak Perlman ,Tchaikovsky Violin Concerto,0,,,,
Janis Joplin ,I Got Dem Ol Kozmic Blues Again Mama,0,,,,
Janis Joplin ,Pearl,0,,,,
Janos Starker ,Bach Suites for Solo Cello,0,,,,
Jean-Jacques Perrey and Harry Breuer ,The Happy Moog,0,,,,
Jefferson Airplane ,The Worst Of,0,,,,
Jellyfish Kiss ,Stormy Weather,0,,,,http://discogs.com//Jellyfish-Kiss-Stormy-Weather/release/964644
Jerry Cole ,A Go Go Guitars,0,,,,
Jerry Jeff Walker ,Cow Jazz,0,,,,
Jerry Lee Lewis ,Original Greatest Hits Picture Disc,0,,,,http://discogs.com//Jerry-Lee-Lewis-Original-Greatest-Hits/release/3332847
Jerry Murads Harmonicats ,Harmonicha Cha Cha,0,,,,
Jerry Reed ,Ready,0,,,,
Jimi Hendrix ,At His Best Vol 3,0,,,,http://discogs.com//Jimi-Hendrix-Jimi-Hendrix-At-His-Best-Volume-3/release/2333119
Jimmy Cliff ,The Harder They Come,0,,MLPS 9202,,http://discogs.com//Jimmy-Cliff-The-Harder-They-Come/release/11750873
Joe Henderson ,Canyon Lady,0,,M-9057,,http://discogs.com//Joe-Henderson-Canyon-Lady/release/1271078
John Coltrane feat Pharoah Sanders ,Live in Seattle,0,,,,http://discogs.com//John-Coltrane-Pharoah-Sanders-John-Coltrane-featuring-Pharoah-Sanders-Live-in-Seattle/release/7538339
John Gielgud and Irene Worth ,Men and Women of Shakespeare,0,,,,
John Lennon ,Imagine,0,,,,
John Lennon,Plastic Ono Band,0,Apple,,,https://www.discogs.com/John-Lennon-Plastic-Ono-Band-John-Lennon-Plastic-Ono-Band/master/72864
John McLaughlin ,Extrapolation,0,,,,
Johnny Cash ,At Folsom Prison,0,,,,
Johnny Cash ,At Folsom Prison and San Quentin,0,,,,
Johnny Cash et al ,Old Time Religion,0,,,,
Johnny Cash ,Greatest Hits Vol 1,0,,,,
Johnny Cash ,His Greatest Hits Vol II,0,,,,
Johnny Cash ,Now There Was a Song,0,,,,http://discogs.com//Johnny-Cash-Now-There-Was-A-Song/release/2539726
Johnny Cash ,Songs of Our Soil,0,,,,
Johnny Cash ,The Walls of a Prison,0,,,,
Jonathan Winters ,The Wonderful World of Jonathan Winters,0,,,,
Jon Hassell ,Earthquake Island,0,,,,
Joni Mitchell ,Blue,0,,,,
Joni Mitchell ,Don Juans Reckless Daughter,0,,,,
Joni Mitchell ,Miles of Aisles,0,,,,
Kate Bush ,The Whole Story,0,,,,
KD Lang ,Shadowland,0,,,,
Keith Jarrett ,In the Light,0,,,,
Keith Jarrett ,Solo Concerts Bremen Lausanne,0,,,,
Keith Jarrett ,The Koln Concert,0,,,,
Kenny Baker and Joe Greene ,High Country,0,,,,http://discogs.com//Kenny-Baker-4-Joe-Greene-High-Country/release/8255513
Kenny Baker ,Grassy Fiddle Blues,0,,,,http://discogs.com//Kenny-Baker-Grassy-Fiddle-Blues/release/2999420
King Sunny Ade ,Aura,0,,90177-1,,http://discogs.com//King-Sunny-Ade-And-His-African-Beats-Aura/release/8884336
Kogan ,Shostakovich Concerto for Violin Op 99,0,,,,
Kool and the Gang ,Ladies Night,0,,,,
Kool and the Gang ,Something Special,0,,,,
Kris Kristofferson ,The Silver Tongued Devil and I,0,,,,
Lalo Schifrin ,Mission Impossible,0,,DLP 25831,,http://discogs.com//Lalo-Schifrin-Music-From-Mission-Impossible/release/5052049
